ID,item_cnt_month
0,0.54444116
1,0.13174692
2,0.8576137
3,0.16889194
4,0.13174692
5,0.49559385
6,0.9304371
7,0.16440725
8,1.2484542
9,0.13174692
10,2.6519234
11,0.21239954
12,0.13174692
13,0.3394896
14,1.425058
15,2.7479744
16,0.13174692
17,0.14958085
18,1.5751803
19,0.13174692
20,0.7141517
21,0.13174692
22,0.60254794
23,0.77491987
24,1.5336578
25,0.13174692
26,0.13174692
27,0.5302303
28,0.79713666
29,3.2094843
30,0.41623864
31,0.13174692
32,0.4339852
33,0.6232604
34,0.13174692
35,0.13174692
36,0.14958085
37,0.52106196
38,0.22872819
39,0.14754644
40,0.54668576
41,0.8430034
42,2.8411589
43,2.8014507
44,0.3866167
45,0.13174692
46,0.7297449
47,0.23946248
48,0.28856492
49,0.94024205
50,1.5174296
51,0.21239954
52,0.7345325
53,0.2017895
54,4.1127214
55,1.8857099
56,3.0516937
57,2.1777272
58,3.3457968
59,1.3835915
60,4.1570582
61,0.51365656
62,0.37750453
63,0.3957239
64,0.13174692
65,0.13174692
66,0.7412218
67,0.13174692
68,0.3866167
69,0.1392571
70,0.13174692
71,1.9452534
72,0.51016265
73,0.86057514
74,0.13174692
75,0.13174692
76,0.38848925
77,0.13174692
78,0.3153533
79,0.70549387
80,1.0570215
81,3.1826968
82,0.8858734
83,0.23282227
84,0.87777114
85,1.0850269
86,0.6090549
87,0.1392571
88,2.9521432
89,1.3499606
90,0.8814486
91,0.38848925
92,2.5354435
93,0.16889194
94,0.23841155
95,0.13174692
96,0.13174692
97,0.47006747
98,0.62181354
99,1.6448139
100,0.7388796
101,0.7059314
102,0.24606289
103,0.38848925
104,0.14498615
105,0.13174692
106,0.13174692
107,0.7543508
108,0.14958085
109,0.13174692
110,0.22888668
111,0.13174692
112,0.13174692
113,0.13174692
114,0.27628547
115,0.27225703
116,0.13174692
117,0.15478235
118,11.55947
119,0.16134337
120,0.13174692
121,0.14260468
122,0.40294725
123,0.5515126
124,0.6050544
125,1.3059242
126,0.13174692
127,0.13174692
128,0.13174692
129,0.21239954
130,0.38848925
131,0.13174692
132,0.38848925
133,3.3790824
134,0.1392571
135,0.38848925
136,0.21239954
137,0.13174692
138,0.97432077
139,0.13174692
140,0.25206637
141,0.46386975
142,0.15478235
143,0.21239954
144,0.13174692
145,0.13174692
146,0.13174692
147,0.18244995
148,0.13174692
149,0.13174692
150,0.16210222
151,0.13174692
152,6.942934
153,0.25813156
154,0.13174692
155,0.2339141
156,0.29654342
157,0.13174692
158,0.16889194
159,0.41637993
160,0.13174692
161,0.21239954
162,0.13174692
163,0.49032414
164,0.4132215
165,0.13174692
166,0.54805017
167,0.14498615
168,0.13174692
169,0.13174692
170,0.21239954
171,0.5198126
172,0.3957239
173,1.3490889
174,1.4939628
175,2.9849787
176,1.288857
177,0.13174692
178,0.4483344
179,0.14498615
180,1.0786079
181,0.4177205
182,0.13174692
183,0.19358996
184,0.21239954
185,0.13174692
186,0.15286857
187,0.2309756
188,0.13174692
189,0.13174692
190,0.13174692
191,0.85818297
192,0.54668576
193,0.20653668
194,0.13174692
195,0.16889194
196,0.38848925
197,2.4874635
198,1.252449
199,0.13174692
200,0.13174692
201,0.13174692
202,0.19718191
203,1.2844671
204,0.18260302
205,0.13174692
206,0.13174692
207,0.13174692
208,1.5863799
209,0.53378683
210,0.24115594
211,0.16440725
212,0.13174692
213,0.38848925
214,0.15918924
215,0.6592589
216,0.49922168
217,0.25557703
218,1.5072179
219,0.4948042
220,0.47405866
221,0.13174692
222,0.13174692
223,0.73552984
224,2.9759939
225,0.43144178
226,0.42387173
227,0.13174692
228,0.22342864
229,0.13174692
230,0.13174692
231,0.473641
232,0.13174692
233,0.41260573
234,0.13174692
235,0.198373
236,0.27061716
237,0.4226703
238,0.38848925
239,0.26011664
240,0.78527856
241,0.13174692
242,0.13174692
243,0.13174692
244,0.13174692
245,0.24546738
246,1.7091495
247,0.59097683
248,0.4014738
249,0.13174692
250,0.7275491
251,0.18691583
252,0.3552658
253,1.006235
254,0.32980263
255,6.942934
256,0.13174692
257,0.21780258
258,0.5264303
259,0.21896927
260,0.13174692
261,0.13174692
262,0.2717682
263,0.13174692
264,0.13174692
265,0.52256066
266,0.13174692
267,0.21239954
268,0.13174692
269,0.13174692
270,1.1516511
271,0.14641815
272,0.19134513
273,0.7059314
274,11.886013
275,0.13174692
276,0.38848925
277,1.1915963
278,0.38848925
279,0.2098458
280,0.2040787
281,0.18244995
282,0.179921
283,0.7925962
284,0.2040787
285,0.23841155
286,0.13174692
287,0.8523921
288,0.2588495
289,0.38848925
290,0.13174692
291,0.1392571
292,0.3132862
293,0.18620855
294,0.74576974
295,0.8115254
296,0.20691642
297,0.16440725
298,0.13174692
299,0.13174692
300,0.13174692
301,0.49576908
302,0.8874986
303,0.7925962
304,0.13174692
305,0.13174692
306,0.24173391
307,0.16889194
308,0.27065378
309,0.13174692
310,0.13174692
311,0.45049584
312,0.78022003
313,0.2098458
314,0.13174692
315,0.38848925
316,0.18555468
317,2.4150684
318,0.1392571
319,0.19718191
320,0.13174692
321,0.14498615
322,0.86969376
323,0.15478235
324,0.5559642
325,0.48325062
326,0.40136975
327,0.13174692
328,0.13174692
329,0.437946
330,0.13174692
331,0.13174692
332,0.16889194
333,0.24800752
334,0.82482356
335,0.28229
336,0.17066035
337,0.8521752
338,0.4278269
339,0.43315455
340,0.15647806
341,0.2362505
342,0.13174692
343,1.1019562
344,0.15656264
345,0.13174692
346,3.8548763
347,3.5186696
348,0.16718279
349,0.33981878
350,0.13174692
351,0.5410744
352,0.13174692
353,0.1682202
354,0.13174692
355,0.13174692
356,0.38848925
357,0.74576974
358,0.6078733
359,0.38848925
360,0.16889194
361,3.189836
362,0.7059314
363,0.82482356
364,0.51270354
365,0.47158277
366,0.13174692
367,0.13174692
368,0.13174692
369,0.22278789
370,0.13174692
371,0.38848925
372,0.7059314
373,0.13174692
374,1.6652238
375,1.9065669
376,0.47453952
377,0.23841155
378,0.4658382
379,0.13174692
380,2.882493
381,0.47158277
382,0.4483344
383,0.13174692
384,1.9707905
385,0.47960335
386,0.4640598
387,0.13174692
388,0.20155223
389,0.14260468
390,0.13174692
391,0.15478235
392,0.1644251
393,0.45541957
394,0.13174692
395,0.13174692
396,1.925914
397,0.34003684
398,0.13174692
399,0.44428802
400,0.13174692
401,0.47601458
402,1.5716864
403,2.4657407
404,0.4186002
405,0.16134337
406,0.17163855
407,0.13174692
408,0.1682202
409,0.13174692
410,0.13174692
411,1.1606574
412,0.1466975
413,0.23184688
414,0.13174692
415,3.6322973
416,0.13174692
417,0.13174692
418,0.13174692
419,0.13174692
420,0.37096387
421,1.4958676
422,0.38848925
423,1.1416948
424,0.14958085
425,0.19963863
426,0.13174692
427,0.13174692
428,1.0969552
429,0.5201072
430,0.7802931
431,0.62391895
432,0.13174692
433,0.13174692
434,0.13174692
435,0.83881485
436,0.14958085
437,0.844591
438,0.572914
439,0.7288548
440,0.16889194
441,0.2587031
442,0.21239954
443,0.2360914
444,0.14958085
445,0.37337142
446,0.24902776
447,0.23171893
448,0.38848925
449,0.58257693
450,0.38848925
451,0.23979898
452,0.1909498
453,0.2250032
454,0.46455604
455,0.20573378
456,0.45867103
457,0.13174692
458,0.5950297
459,0.5916319
460,20.0
461,1.2777693
462,0.38848925
463,0.5691863
464,0.4726159
465,0.13174692
466,0.13174692
467,0.13174692
468,0.13174692
469,0.32336998
470,0.38848925
471,0.33537996
472,0.16889194
473,0.13174692
474,1.0786079
475,1.4958676
476,0.13174692
477,0.13174692
478,0.13174692
479,0.13174692
480,0.13174692
481,0.13174692
482,0.14958085
483,0.38848925
484,0.8758607
485,0.48474595
486,0.43522808
487,0.17533477
488,0.13174692
489,2.716122
490,0.19134513
491,0.13174692
492,0.4348819
493,0.13174692
494,0.38848925
495,0.14754644
496,0.15478235
497,0.13174692
498,6.5398335
499,0.13174692
500,0.13174692
501,0.52816695
502,0.52017826
503,0.13174692
504,0.9809952
505,0.7972979
506,1.048658
507,0.18233228
508,0.8246974
509,0.33294508
510,0.16889194
511,0.16681156
512,0.24400519
513,0.13174692
514,0.13174692
515,0.13174692
516,0.21239954
517,0.55015314
518,0.89293444
519,0.4483344
520,0.41856176
521,0.4670907
522,0.6177492
523,1.1167098
524,0.16889194
525,0.6360577
526,0.18863839
527,0.17530133
528,0.13174692
529,0.13174692
530,0.13174692
531,0.6331851
532,0.13174692
533,0.14260468
534,0.13174692
535,0.13174692
536,0.13174692
537,0.1870412
538,0.43155274
539,0.22699685
540,1.1430851
541,0.13174692
542,0.28193086
543,0.16780555
544,0.13174692
545,0.13174692
546,0.4146602
547,0.14754644
548,0.14498615
549,0.13174692
550,0.13174692
551,0.3077473
552,0.5190072
553,0.14958085
554,0.13174692
555,0.33091918
556,0.1973664
557,0.2040787
558,0.13174692
559,0.18620855
560,0.28215888
561,0.7457979
562,0.15286857
563,0.13174692
564,0.13174692
565,0.18914855
566,0.16889194
567,0.13174692
568,0.24836938
569,0.15286857
570,0.13174692
571,0.13174692
572,0.74576974
573,0.2588495
574,0.13174692
575,0.13174692
576,0.27754596
577,0.13174692
578,0.13174692
579,0.43554533
580,0.13174692
581,0.13174692
582,0.13174692
583,0.13174692
584,0.8289338
585,0.13174692
586,0.13174692
587,0.55586857
588,2.4575996
589,0.20526445
590,0.5086952
591,0.33625478
592,2.3586142
593,0.16440725
594,0.18578847
595,0.1950246
596,0.16889194
597,0.13174692
598,0.13174692
599,0.13174692
600,0.14958085
601,0.17530133
602,0.13174692
603,0.13174692
604,0.21239954
605,0.14260468
606,0.13174692
607,0.13174692
608,0.13174692
609,0.43169442
610,0.4113609
611,0.69575465
612,0.13174692
613,0.13174692
614,0.13174692
615,0.87409145
616,0.38848925
617,0.27659002
618,0.4483344
619,0.15478235
620,0.41341883
621,0.13174692
622,0.13174692
623,0.5410078
624,0.38848925
625,0.38848925
626,0.74576974
627,0.13174692
